id,organisation,campus,department
1,Deakin University,Burwood,None
2,Deakin University,Warrnambool,None
3,Federation University,Ballarat,None
4,La Trobe University,Bendigo,None
5,La Trobe University,Bundoora,None
6,Monash University,Clayton,None
7,Monash University,Parkville,None
8,RMIT,Melbourne,None
9,Swinburne University of Technology,Hawthorn,None
10,University of Melbourne,Parkville,"Faculty of Architecture, Building and Planning"
11,University of Melbourne,Parkville,Melbourne School of Design
12,University of Melbourne,Parkville,Asia Institute
13,University of Melbourne,Parkville,School of Culture and Communication
14,University of Melbourne,Parkville,School of Historical and Philosophical Studies
15,University of Melbourne,Parkville,School of Languages and Linguistics 
16,University of Melbourne,Parkville,School of Social and Political Sciences
17,University of Melbourne,Parkville,Graduate School of Humanities and Social Sciences
18,University of Melbourne,Parkville,Melbourne Business School
19,University of Melbourne,Parkville,Melbourne School of Government
20,University of Melbourne,Parkville,The Melbourne Institute
21,University of Melbourne,Parkville,Department of Accounting
22,University of Melbourne,Parkville,Department of Business Administration
23,University of Melbourne,Parkville,Department of Economics
24,University of Melbourne,Parkville,Department of Finance
25,University of Melbourne,Parkville,Department of Management and Marketing
26,University of Melbourne,Parkville,Melbourne Graduate School of Education
27,University of Melbourne,Parkville,Department of Biomedical Engineering
28,University of Melbourne,Parkville,Department of Chemical and Biomolecular Engineering
29,University of Melbourne,Parkville,Department of Computing and Information Systems
30,University of Melbourne,Parkville,Department of Electrical and Electronic Engineering
31,University of Melbourne,Parkville,Department of Infrastructure Engineering
32,University of Melbourne,Parkville,Department of Mechanical Engineering
33,University of Melbourne,Parkville,Melbourne School of Information
34,University of Melbourne,Parkville,Melbourne Law School
35,University of Melbourne,Parkville,Melbourne Dental School
36,University of Melbourne,Parkville,Department of Anatomy and Neuroscience
37,University of Melbourne,Parkville,Department of Biochemistry and Molecular Biology
38,University of Melbourne,Parkville,General Practice and Primary Health Care Academic Centre
39,University of Melbourne,Parkville,Health and Biomedical Informatics Unit
40,University of Melbourne,Parkville,Medical Education Unit
41,University of Melbourne,Austin Hospital,Department of Medicine at Austin Health
42,University of Melbourne,Royal Melbourne Hospital,Department of Medicine at Royal Melbourne Hospital
43,University of Melbourne,St Vincent's Hospital,Department of Medicine at St Vincent's
44,University of Melbourne,Parkville,Department of Microbiology and Immunology
45,University of Melbourne,Sunshine Hospital,NorthWest Academic Centre
46,University of Melbourne,Northern Hospital,NorthWest Academic Centre
47,University of Melbourne,Parkville,Department of Obstetrics and Gynaecology
48,University of Melbourne,Parkville,Department of Ophthalmology
49,University of Melbourne,Parkville,Department of Otolaryngology
50,University of Melbourne,Parkville,Department of Pathology
51,University of Melbourne,Parkville,Department of Paediatrics
52,University of Melbourne,Parkville,Pharmacology and Therapeutics
53,University of Melbourne,Parkville,Department of Physiology
54,University of Melbourne,Parkville,Department of Psychiatry
55,University of Melbourne,Parkville,Department of Radiology
56,University of Melbourne,Parkville,Rural Health Academic Centre
57,University of Melbourne,Austin Hospital,Department of Surgery at Austin Health
58,University of Melbourne,Royal Melbourne Hospital,Department of Surgery at Royal Melbourne Hospital
59,University of Melbourne,St Vincent's Hospital,Department of Surgery at St Vincent’s
60,University of Melbourne,Parkville,Department of Nursing
61,University of Melbourne,Parkville,Department of Physiotherapy
62,University of Melbourne,Parkville,Department of Social Work
63,University of Melbourne,Parkville,Department of Audiology and Speech Pathology
64,University of Melbourne,Parkville,Melbourne School of Population and Global Health
65,University of Melbourne,Parkville,Melbourne School of Psychological Sciences
66,University of Melbourne,Parkville,Florey Institute of Neuroscience and Mental Health
67,University of Melbourne,Parkville,School of Botany
68,University of Melbourne,Parkville,School of Chemistry
69,University of Melbourne,Parkville,School of Earth Sciences
70,University of Melbourne,Parkville,Department of Genetics
71,University of Melbourne,Parkville,Department of Mathematics and Statistics
72,University of Melbourne,Parkville,Department of Optometry and Vision Sciences
73,University of Melbourne,Parkville,School of Physics
74,University of Melbourne,Parkville,Department of Zoology
75,University of Melbourne,Parkville,bio21
76,University of Melbourne,Parkville,Faculty of Veterinary and Agricultural Sciences
77,University of Melbourne,Dookie,Faculty of Veterinary and Agricultural Sciences
78,University of Melbourne,Werribee,Faculty of Veterinary and Agricultural Sciences
79,University of Melbourne,Parkville,Melbourne Conservatorium of Music
80,University of Melbourne,Southbank,Victorian College of the Arts
81,University of Melbourne,Parkville,Department of Agriculture and Food Systems
82,University of Melbourne,Burnley,Department of Forest and Ecosystem Science
83,University of Melbourne,Parkville,Department of Resource Management and Geography
84,University of Melbourne,Parkville,Scholarly Information
85,University of Melbourne,Parkville,None
86,University of Melbourne,Parkville,VLSCI
87,University of Tasmania,Sandy Bay,None
88,Unknown,Unknown,None
