organisation,campus,department
Deakin University,Burwood,None
Deakin University,Warrnambool,None
Federation University,Ballarat,None
La Trobe University,Bendigo,None
La Trobe University,Bundoora,None
Monash University,Clayton,None
Monash University,Parkville,None
RMIT,Melbourne,None
Swinburne University of Technology,Hawthorn,None
University of Melbourne,Parkville,"Faculty of Architecture, Building and Planning"
University of Melbourne,Parkville,Melbourne School of Design
University of Melbourne,Parkville,Asia Institute
University of Melbourne,Parkville,School of Culture and Communication
University of Melbourne,Parkville,School of Historical and Philosophical Studies
University of Melbourne,Parkville,School of Languages and Linguistics 
University of Melbourne,Parkville,School of Social and Political Sciences
University of Melbourne,Parkville,Graduate School of Humanities and Social Sciences
University of Melbourne,Parkville,Melbourne Business School
University of Melbourne,Parkville,Melbourne School of Government
University of Melbourne,Parkville,The Melbourne Institute
University of Melbourne,Parkville,Department of Accounting
University of Melbourne,Parkville,Department of Business Administration
University of Melbourne,Parkville,Department of Economics
University of Melbourne,Parkville,Department of Finance
University of Melbourne,Parkville,Department of Management and Marketing
University of Melbourne,Parkville,Melbourne Graduate School of Education
University of Melbourne,Parkville,Department of Biomedical Engineering
University of Melbourne,Parkville,Department of Chemical and Biomolecular Engineering
University of Melbourne,Parkville,Department of Computing and Information Systems
University of Melbourne,Parkville,Department of Electrical and Electronic Engineering
University of Melbourne,Parkville,Department of Infrastructure Engineering
University of Melbourne,Parkville,Department of Mechanical Engineering
University of Melbourne,Parkville,Melbourne School of Information
University of Melbourne,Parkville,Melbourne Law School
University of Melbourne,Parkville,Melbourne Dental School
University of Melbourne,Parkville,Department of Anatomy and Neuroscience
University of Melbourne,Parkville,Department of Biochemistry and Molecular Biology
University of Melbourne,Parkville,General Practice and Primary Health Care Academic Centre
University of Melbourne,Parkville,Health and Biomedical Informatics Unit
University of Melbourne,Parkville,Medical Education Unit
University of Melbourne,Austin Hospital,Department of Medicine at Austin Health
University of Melbourne,Royal Melbourne Hospital,Department of Medicine at Royal Melbourne Hospital
University of Melbourne,St Vincent's Hospital,Department of Medicine at St Vincent's
University of Melbourne,Parkville,Department of Microbiology and Immunology
University of Melbourne,Sunshine Hospital,NorthWest Academic Centre
University of Melbourne,Northern Hospital,NorthWest Academic Centre
University of Melbourne,Parkville,Department of Obstetrics and Gynaecology
University of Melbourne,Parkville,Department of Ophthalmology
University of Melbourne,Parkville,Department of Otolaryngology
University of Melbourne,Parkville,Department of Pathology
University of Melbourne,Parkville,Department of Paediatrics
University of Melbourne,Parkville,Pharmacology and Therapeutics
University of Melbourne,Parkville,Department of Physiology
University of Melbourne,Parkville,Department of Psychiatry
University of Melbourne,Parkville,Department of Radiology
University of Melbourne,Parkville,Rural Health Academic Centre
University of Melbourne,Austin Hospital,Department of Surgery at Austin Health
University of Melbourne,Royal Melbourne Hospital,Department of Surgery at Royal Melbourne Hospital
University of Melbourne,St Vincent's Hospital,Department of Surgery at St Vincent's
University of Melbourne,Parkville,Department of Nursing
University of Melbourne,Parkville,Department of Physiotherapy
University of Melbourne,Parkville,Department of Social Work
University of Melbourne,Parkville,Department of Audiology and Speech Pathology
University of Melbourne,Parkville,Melbourne School of Population and Global Health
University of Melbourne,Parkville,Melbourne School of Psychological Sciences
University of Melbourne,Parkville,Florey Institute of Neuroscience and Mental Health
University of Melbourne,Parkville,School of Botany
University of Melbourne,Parkville,School of Chemistry
University of Melbourne,Parkville,School of Earth Sciences
University of Melbourne,Parkville,Department of Genetics
University of Melbourne,Parkville,Department of Mathematics and Statistics
University of Melbourne,Parkville,Department of Optometry and Vision Sciences
University of Melbourne,Parkville,School of Physics
University of Melbourne,Parkville,Department of Zoology
University of Melbourne,Parkville,bio21
University of Melbourne,Parkville,Faculty of Veterinary and Agricultural Sciences
University of Melbourne,Dookie,Faculty of Veterinary and Agricultural Sciences
University of Melbourne,Werribee,Faculty of Veterinary and Agricultural Sciences
University of Melbourne,Parkville,Melbourne Conservatorium of Music
University of Melbourne,Southbank,Victorian College of the Arts
University of Melbourne,Parkville,Department of Agriculture and Food Systems
University of Melbourne,Burnley,Department of Forest and Ecosystem Science
University of Melbourne,Parkville,Department of Resource Management and Geography
University of Melbourne,Parkville,Scholarly Information
University of Melbourne,Parkville,None
University of Melbourne,Parkville,VLSCI
University of Tasmania,Sandy Bay,None
Unknown,Unknown,None
