title,descriptrion,start_date,teaching_hours,catering,website,blog_post
Software Carpentry (Python),Two-day Software Carpenty workshop for a general audience,2013-11-25,12,FALSE,http://damienirving.github.io/2013-11-25-unimelb/,http://melbourne.resbaz.edu.au/post/73029044458/the-hacker-within-research-community-launched-in
Software Carpentry (Python),Software Carpentry workshop for bioinformatics co-hosted with COMBINE,2014-03-18,12,FALSE,http://resbaz.github.io/2014-03-18-combine/,http://melbourne.resbaz.edu.au/post/81523067354/bootcamp-for-bioinformatics
Software Carpentry (Python),Software Carpentry workshop for biomedical imaging co-hosted with Matthew Dimmock,2014-06-02,12,FALSE,http://badger-d.github.io/2014-06-02-monash/,http://melbourne.resbaz.edu.au/post/87780775179/software-carpentry-for-biomedical-imaging
Software Carpentry (MATLAB),Software Carpentry workshop for a general audience,2014-08-18,12,FALSE,http://resbaz.github.io/2014-08-18-unimelb/,http://melbourne.resbaz.edu.au/post/96393927679/sprechen-sie-matlab
Software Carpentry (Python),Software Carpentry workshop for a general audience co-hosted with Students of the Florey Institute and the Postgraduate Association of Chemical Engineers,2014-09-15,12,FALSE,http://resbaz.github.io/2014-09-15-unimelb/,http://melbourne.resbaz.edu.au/post/98413062439/software-carpentry-on-the-nectar-research-cloud
Software Carpentry ®,Software Carpentry workshop for bioinformatics co-hosted with COMBINE,2014-12-08,12,FALSE,http://resbaz.github.io/2014-12-08-combine-r/,http://melbourne.resbaz.edu.au/post/105168461084/beta-testing-the-r-novice-materials
Galaxy,Galaxy training co-hosted with VLSCI and HABIC,2014-04-01,10,FALSE,https://www.eventbrite.com.au/e/galaxy-training-in-collaboration-with-vlsci-habic-its-research-registration-10775974229,http://melbourne.resbaz.edu.au/post/85795650639/galaxy-in-the-cloud-its-not-as-far-as-you
ParaView,ParaView workshop co-hosted with the ARC Centre of Excellence for Climate System Science,2014-01-22,3.5,FALSE,,http://melbourne.resbaz.edu.au/post/74216479334/paraview-comes-to-the-school-of-earth-sciences
Python for Geophysics,Introductory Python programming course held for geodynamics masters students in the School of Earth Sciences (contact is Professor Louis Moresi),2014-05-26,5,FALSE,,http://melbourne.resbaz.edu.au/post/87445862694/python-for-geodynamics
3D Printing for Medical Appilications seminar,Seminar on 3D printing medical applications co-hosted with Carlton Connect,2014-04-14,4,,http://melbourne.resbaz.edu.au/post/112122206914/save-the-date-and-register-3d-printing-for,http://melbourne.resbaz.edu.au/post/116377884269/3dmed-wrap-up
Software Carpentry Instructor Training,Training course for Software Carpentry instructors held immediately prior to ResBaz 2015 over 3 full days,2015-02-11,15,TRUE,http://melbourne.resbaz.edu.au/instructor-training,http://melbourne.resbaz.edu.au/post/110950818524/software-carpentry-set-to-explode-in-aus-nz
Visualise the City,Tableau workshop for a general audience,2014-10-16,6,FALSE,https://www.eventbrite.com.au/e/visualise-the-city-tickets-13086874193,
The Great Gigascience and Galaxy workshop,Workshop on Galaxy and Authorea co-hosted with Gigascience (which is an academic journal) and VLSCI and Australian Bioinformatics Network (primary coordinator was Nick Wong),2014-09-19,7,TRUE,http://australianbioinformatics.net/great-gigascience-galaxy-wkshp?SSScrollPosition=161,http://melbourne.resbaz.edu.au/post/98626289709/tackling-irreproducible-research-the-g3-workshop
NLTK,First try at an NLTK workshop for a general audience,2014-09-18,2,FALSE,https://www.eventbrite.com.au/e/data-carpentry-beta-trial-of-nltk-distance-reading-module-tickets-12816477429,
3D Printing Showcase,,2014-09-12,12,,,http://melbourne.resbaz.edu.au/3DPrintingShowcase
Omeka,Omeka workshop for a general audience,2014-09-11,2,FALSE,https://www.eventbrite.com.au/e/get-your-research-collection-online-with-omeka-tickets-12540973389,http://melbourne.resbaz.edu.au/post/97611839679/omeka-is-too-easy-for-librarians
Authorea,Authorea workshop for a general audience,2015-04-15,1.5,FALSE,https://www.eventbrite.com.au/e/authorea-training-tickets-16326529088,
Mapping for Researchers (CartoDB),CartoDB workshop for a general audience,2014-09-02,2.5,FALSE,https://www.eventbrite.com.au/e/mapping-for-researchers-cartodb-tickets-12540181019,
